周波数 (Hz)	レベル (dB)
20578.125000	-150.206863
20625.000000	-153.339859
20671.875000	-145.311646
20718.750000	-141.537430
20765.625000	-143.290329
20812.500000	-149.718353
20859.375000	-142.370621
20906.250000	-143.544022
20953.125000	-151.339935
21000.000000	-153.289444
21046.875000	-146.040817
21093.750000	-142.548691
21140.625000	-144.325317
21187.500000	-150.708054
21234.375000	-143.316406
21281.250000	-144.782578
21328.125000	-151.706467
21375.000000	-154.025360
21421.875000	-146.761902
21468.750000	-143.577698
21515.625000	-145.525131
21562.500000	-150.974747
21609.375000	-144.477417
21656.250000	-145.931488
21703.125000	-152.675735
21750.000000	-154.049408
21796.875000	-147.533066
21843.750000	-144.748032
21890.625000	-146.782745
21937.500000	-151.819824
21984.375000	-145.579468
22031.250000	-147.471741
22078.125000	-152.746506
22125.000000	-154.669205
22171.875000	-148.250183
22218.750000	-145.974182
22265.625000	-148.230560
22312.500000	-152.052811
22359.375000	-146.967606
22406.250000	-148.816666
22453.125000	-153.410492
22500.000000	-154.513580
22546.875000	-149.065506
22593.750000	-147.365692
22640.625000	-149.675064
22687.500000	-152.717270
22734.375000	-148.228989
22781.250000	-150.564102
22828.125000	-153.109161
22875.000000	-155.071381
22921.875000	-149.752808
22968.750000	-148.821671
23015.625000	-151.255630
23062.500000	-152.965332
23109.375000	-149.832794
23156.250000	-151.944504
23203.125000	-153.238663
23250.000000	-154.911179
23296.875000	-150.713699
23343.750000	-150.524109
23390.625000	-152.532257
23437.500000	-153.424133
23484.375000	-151.307205
23531.250000	-153.198700
23578.125000	-152.468369
23625.000000	-155.267670
23671.875000	-151.332901
23718.750000	-152.156448
23765.625000	-153.013123
23812.500000	-153.360199
23859.375000	-152.621735
23906.250000	-152.932297
23953.125000	-152.182709
